Morion ID,ATC Code (1),ATC Code (2),ATC Code (3),ATC Code (4),ATC Code (5),Brand,INN,NFC (1),Description,2019 01,2019 02,2019 03,2019 04,2019 05,2019 06,2019 07,2019 08,2019 09,2019 10,2019 11,2019 12,2020 01,2020 02,2020 03,2020 04,2020 05,2020 06,2020 07,2020 08,2020 09,2020 10,2020 11,2020 12,2021 01,2021 02,2021 03,2021 04,2021 05,2021 06,2021 07,2021 08,2021 09,2021 10,2021 11,2021 12,2022 01,2022 02,2022 03,2022 04,2022 05,2022 06,2022 07,2022 08,2022 09,2022 10,2022 11,2022 12,2023 01,2023 02,2023 03,2023 04,2023 05,2023 06,2023 07,2023 08,2023 09,2023 10,2023 11,2023 12
386946,N NERVOUS SYSTEM,N06 PSYCHOANALEPTICS,"N06B PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B X Other psychostimulants and nootropics,N06B X06 Citicoline,38213,CITICOLINUM,Parenteral Ordinary," sol.  for inj. 500 mg amp. 2 ml, contour cell wrap, pack, #10",0.16,0,1.7,1.12,0.67,0.21,10.96,2.48,0,0,0,0,0,11.21,0,0,0,0,0,5.58,0,6.16,0,0,0.52,0,0,4.67,0,0,0,0,0,0,0,1.32,2.34,1.54,2.64,2.34,1.43,2.34,1.87,1.94,1.61,0.5,0,0,0,1.52,0.25,0.63,0,0,2.32,2.78,2.18,2.2,0.9,0
74519,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A05 Atorvastatin,34727,ATORVASTATINUM,Oral Solid Ordinary," tabs coated w/film 20 mg blister, #30",0.21,2.12,2.84,1.41,2.24,10.74,16.43,11.94,26.07,19.03,52.98,38.96,0,2.92,6.03,0.45,1.54,5.98,11.52,11.83,23.74,17.25,20.92,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,48.74,254.32,346.21,342.18,272.44,325.14,356.34,341.45,346.76,403.78,262.3,244.03,169.18,118.12,66.78,44.94,9.12,0,1.5
410903,M MUSCULO-SCELETAL SYSTEM,M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A B Acetic acid derivatives and related substances,M01A B05 Diclofenac,3419,DICLOFENACUM,Parenteral Ordinary," sol.  for inj. 25 mg/ml amp. 3 ml, #5",0.34,199.41,1060.58,1270.29,1552.52,1822.96,2283.38,2353.38,2261.63,2676.72,3107.12,2944.21,3246.94,3253.05,2610.05,1515.98,2069.43,1904.76,2358.98,2602.22,2497.03,2690.16,2846.54,2601.36,2387,2624.72,2574.61,2422.18,2798.96,2783.27,2769.14,2940.16,2626.43,2554.74,2547.36,2456.47,2617.96,2755.12,3186.94,1589.1,1891.38,1756.07,1978.24,1947.14,2087.72,2287.98,2535.54,2277.47,2477.38,2394.98,3021.94,2816.27,3220.27,2949.32,2948.98,2805.72,2415.24,1510.04,954.41,656.89
299212,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B F Gabapentinoids,N02B F02 Pregabalin,4705,PREGABALINUM,Oral Solid Ordinary," caps. 150 mg blister, #84",0.52,0.47,0.16,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198282,C CARDIOVASCULAR SYSTEM,C08 CALCIUM CHANNEL BLOCKERS,C08C SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C A Dihydropyridine derivatives,C08C A01 Amlodipine,35222,AMLODIPINUM,Oral Solid Ordinary," tabs 5 mg blister, #60",0.54,0.61,1.43,2.64,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485156,N NERVOUS SYSTEM,N06 PSYCHOANALEPTICS,"N06B PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B X Other psychostimulants and nootropics,N06B X06 Citicoline,23481,CITICOLINUM,Parenteral Ordinary," sol.  for inj. 500 mg/4 ml amp. 4 ml, blister in the box, #5",0.58,1.36,6.45,1.63,1.32,6.05,3.65,1.81,0.72,0.76,3.89,2.04,2.14,2.4,0,4.43,1.85,0.43,1.34,1.18,5.54,0.65,2.18,2.36,2.54,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85813,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J01 ANTIBACTERIALS FOR SYSTEMIC USE,"J01F MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01F A Macrolides,J01F A10 Azithromycin,45901,AZITHROMYCINUM,Oral Solid Ordinary," tablets coated 250 mg, #6",0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171324,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A05 Atorvastatin,15766,ATORVASTATINUM,Oral Solid Ordinary," tabs coated w/film 20 mg blister, #30",0.7,0,1.58,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327027,A ALIMENTARY TRACT AND METABOLISM,A10 DRUGS USED IN DIABETS,"A10B BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10B A Biguanides,A10B A02 Metformin,49947,METFORMINUM,Oral Solid Ordinary," tabs coated w/film 850 mg blister, in box, #30",0.92,11.01,4.65,4.5,9.12,7.41,9.65,3.98,4.89,0,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299208,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B F Gabapentinoids,N02B F02 Pregabalin,4705,PREGABALINUM,Oral Solid Ordinary," caps. 75 mg blister, #84",0.92,0.96,0,0,0,0,0,0,0,0.18,0.18,0.14,0.45,0,1.23,0.85,6.1,0.83,7.18,2.96,7.29,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
